	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90
Signature_0	0.2617696691215045	0.10053586932190026	0.24229623133444697	0.08700509402531359	0.39641013552964277	0.665727764883445	0.1874962888292412	0.2254477519271601	0.03574196402949343	0.08701891322910778	0.07488085056175227	0.17809071353419365	0.09275089534999441	0.43789000127777555	0.4512714133719135	0.07927788656424105	0.012982281581334935	0.08940781323439816	0.5936108312933066	0.07924450517657496	0.03517507690288748	0.013409718957011874	0.14483887931410397	0.3259778402198957	0.2418213704225019	0.09204540661588012	0.025197376480277943	0.5659167421836104	0.33073474215344395	0.22088373960711527	0.08581397437901729	0.08558703496098136	0.017301963672311384	0.15107979480458286	0.3260991662577106	0.13916015816036578	0.3298005491485071	0.04442222280829347	0.014971132363058899	0.15058321824579196	0.0864453256613106	0.09674954345423312	0.026525206690589744	0.14606113745101493	0.24908914780752028	0.14814783869050566	0.7612965413542099	0.03939784134583258	0.5376594147119618	0.02443991700249059	0.11143000156712302	0.0657709741669494	0.018811669720526985	0.0054810127373642725	0.115104430306663	0.11132634273260499	0.023884807170769875	0.07360161524498544	0.08723234125181469	0.04711416014732528	0.06433981526590907	0.09679255490988123	0.14300131540691138	0.029349630005158778	0.011540751096519846	0.6662510578898473	0.05947988910959017	0.09551620969958524	0.2883656082980753	0.06375873564868124	0.1676198285375752	0.015001172176607978
Signature_1	0.13582452832167954	0.5437216148593236	0.4868840100106363	0.1751015588208782	0.6482647133227896	0.3945243570137035	0.5209589187847322	0.45937191562827145	0.2198499707921443	0.25809343895254255	0.2425452968431714	0.34106243952681886	0.03572897468981875	0.39210941937124927	0.6000605091134951	0.31970124186290116	0.020042869972616457	0.0943814025948671	0.29141199210756374	0.18853829102805905	0.10803743085299929	0.07852899161779786	0.1649333867484337	0.5561013444219014	0.242169115531507	0.18327623216800892	0.11897813779317637	0.5243081243048127	0.22658068681452698	0.4181777325224111	0.2588755040336075	0.1498000762715573	0.06470396353042851	0.12144754158766279	0.5702633053130971	0.40522967899909057	0.6495458507688501	0.16700313793957905	0.10865612751914669	0.26561183221841395	0.0925308167794045	0.3543724121334275	0.0700191300362608	0.2759744709343566	0.5763679749058789	0.3617803049065509	0.5479652668825302	0.13821580615616258	0.4733648547713596	0.05462904213907136	0.3346393910145568	0.2654902272151883	0.02832649814763964	0.020860541587413916	0.3364569405406157	0.23231914031010262	0.04780387160184747	0.1255226955756035	0.13172876316442997	0.14853308349504463	0.034683668835810345	0.45335777906065977	0.48292906287734294	0.02662900973794568	0.09512981888070073	0.5334898408889602	0.33299067446111236	0.15071128978306322	0.2558174970237946	0.22538528669811816	0.43711566612917446	0.0706813943309684
Signature_2	0.24622651450688376	0.30382353681222946	0.5204678954582433	0.20987612145807177	0.6553722518085013	0.5083563784804969	0.3281299657132281	0.33003458619522363	0.2778836814258061	0.2725705875220982	0.2918758047052869	0.3971344130489834	0.03588212713903315	0.15502006082055983	0.4409063543418765	0.4448799927340914	0.05304652822086204	0.08395794235245915	0.5529490716636902	0.23421460086122536	0.11015257540943892	0.12027148826524753	0.20809174694733798	0.5124620935187882	0.24498384585944052	0.3461670188913582	0.16033421738946987	0.491129642713195	0.28672776283554935	0.47089966702131353	0.39159514408849505	0.15930586709978425	0.07404805813230488	0.18102526560414312	0.43048933209112356	0.4310562554802786	0.5235581174297778	0.11633962255265427	0.14039991994248546	0.2676493152285326	0.12721542388348267	0.4321903969649813	0.05110388323145115	0.3119801659586683	0.543496415694924	0.4233884769818439	0.5159770939321431	0.0893801280951818	0.5362790358687985	0.0526297573848982	0.3655363804709129	0.19105603908665797	0.010085395037958703	0.015073358118466502	0.22831601929563394	0.25057495951129555	0.06974025757146568	0.10648667030626187	0.16887089466834232	0.08078380882176989	0.04812963125964631	0.5332476896657838	0.3309219760684227	0.040555788741356326	0.01531032742312997	0.44418396483871186	0.40851522257943496	0.15272195379955789	0.19353596564878708	0.30438259060260875	0.42194441286200146	0.09327804930783691
Signature_3	0.6495933890263753	0.04996653600630507	0.17886729827116524	0.06758883299023104	0.3328386324608842	0.8119334375654893	0.1327738069697896	0.1533092458961719	0.02919136134277906	0.0638030703142726	0.057698192674219134	0.13659019532010244	0.02763298729890944	0.592508870398606	0.1779792566802926	0.03308680376434068	0.036295313893391995	0.0910142408598573	0.7048750018841562	0.043824756747125604	0.010000805518201279	0.01384285673255076	0.15175672717822097	0.24999275471588572	0.2053253568603057	0.058185106192234014	0.02844060640985817	0.31054105694374695	0.2189603741190433	0.25345920660374416	0.06876852356263231	0.07553574363714274	0.02938039847963055	0.1746302420576601	0.19982412998738117	0.10160559191133868	0.24106632746722478	0.05255374296719252	0.03507515661830532	0.09008029245455587	0.058685777727482895	0.07732536039190595	0.042421332467486216	0.1731655256355818	0.16318110429618612	0.13920454822733108	0.3541555116709656	0.04162999418183619	0.4754169326751136	0.041574209530934096	0.08567778332197731	0.05076128785131389	0.010133657650542447	0.04031231796929325	0.08681841141502106	0.10727012234281322	0.01883170298379591	0.08292211792168784	0.07546296135058672	0.06751963918071674	0.0140403282786802	0.09935795216169709	0.07770560319893934	0.012659065826913675	0.026558909875104383	0.47560815078809604	0.0494939539763039	0.14776919716032996	0.5064878340859917	0.07183013408819915	0.1396317452694415	0.012258510747915093
Signature_4	0.5876335920959235	0.02667079174742666	0.22153063598190376	0.06630641708514641	0.38553233401115367	0.8482973840748621	0.09876986952634997	0.17913497100098374	0.048204977498407	0.08576811398295241	0.05332123513033048	0.15904206462601125	0.025069751467525728	0.35150020491376144	0.25986319588472856	0.07343449524347272	0.015431837868784179	0.08543604839211781	0.6046155503951114	0.04365732869283684	0.03082379706868371	0.048313673705574066	0.1492174816539921	0.2688432879922582	0.24564521992937427	0.10111025565924274	0.024013747187952145	0.4264557787234237	0.24512223223495758	0.25368932989289844	0.09973988146262588	0.07349357444559634	0.02522774944541326	0.15858394179081206	0.2863600356004567	0.1474868877902751	0.2591835032384856	0.050458795242592856	0.030334409537370963	0.12169478044569708	0.05553382434881859	0.11234612295210884	0.030453875450133335	0.16750592586996152	0.1952698908000275	0.15770756777697847	0.4916185007885951	0.027567845472173846	0.5496532132777484	0.024518950298352035	0.1273930976192636	0.03889969489423174	0.008664695604309365	0.02478939814518526	0.07043841752073209	0.11889574023367276	0.03494669963552121	0.08641381282932332	0.12173037734618383	0.04906016852423945	0.026114526317091755	0.12485944933400996	0.09580981678338253	0.012182192879726429	0.01479915471903952	0.5090935396123355	0.04765333685424777	0.119733644379996	0.662055644826441	0.054649153396114536	0.14523375583733483	0.00802595804886538
Signature_5	0.38384629833072154	0.08495007016487571	0.47328233298646216	0.1863393471480054	0.6029543476502616	0.5004552114167492	0.24298823403899464	0.31624663008703957	0.20311919603141965	0.2788491370300096	0.27381688038652835	0.43773567170739675	0.02290941974004429	0.3743154869106125	0.3003642276679623	0.33876901411611526	0.08915617733050478	0.0832522206126438	0.3657954619502636	0.2719574094470293	0.10646307846390117	0.19086641822573927	0.1938530127746757	0.20970416867380579	0.1983446547970587	0.2779500448704765	0.24637096816184553	0.30260804708662925	0.22034654857819416	0.4849364038034255	0.34866687553724013	0.20408131676913172	0.07867082631971622	0.1678858686443723	0.3118787792920048	0.2932208176128496	0.3208152348436109	0.15777970126150745	0.30495240036861077	0.20586913632946663	0.08645937577486693	0.3810489007915486	0.04895052374407596	0.36523841823949976	0.45123308729330086	0.4093587513381434	0.3492934404199392	0.26959285908967257	0.3484008815853903	0.045541615168625454	0.366657029031184	0.41486876885084967	0.02263042657685616	0.01299346254704954	0.25648145525370974	0.4071707686603382	0.03620066649536127	0.1044418477076138	0.2675379873509899	0.19949040081543887	0.04086856141627221	0.20334414150982072	0.2901770808343517	0.03379815600023978	0.14429413956358886	0.28367651461021764	0.4205983591099521	0.1844930982444932	0.5367913681852231	0.257814006713731	0.4067894785946905	0.2917454887020793
Signature_6	0.18898402054834015	0.09826482187091631	0.5138462553497081	0.208455129798062	0.5823616179583438	0.45286948155057893	0.18454782089571004	0.2253991558814654	0.19582653048276982	0.1901231803569237	0.24225451625267994	0.5906170026828459	0.07836919379260017	0.12076797313489065	0.38245989622271376	0.3527257312932913	0.08127629786147397	0.17597389994915025	0.4914797014540407	0.32821457443761853	0.10220617271852456	0.1586755550679981	0.17959172151551495	0.28903782705113007	0.3202708883873223	0.19708094945598822	0.17431077458106223	0.465550589878995	0.2799854296475818	0.4406311959213857	0.31532552930532376	0.15819421504056042	0.21061031375071157	0.15913086108667784	0.32893818244115486	0.2859207624022596	0.29621470611100914	0.10880518010438407	0.04775339195354986	0.31180894491455174	0.13563585957809465	0.47811291832478137	0.10420958477238944	0.34237640124969215	0.5015259289287454	0.44216593594421905	0.6086560469426168	0.24367107535919363	0.49647169378229655	0.12295201680333684	0.33212640026382345	0.112373097148233	0.06797801417619963	0.12362502320017595	0.19111830062951707	0.17735999691957025	0.08207092196992641	0.1050462980591655	0.153235189258168	0.2170748219516551	0.10958223135120189	0.39576280656525475	0.200230847749765	0.032575399593663824	0.14754271824872986	0.48793192455212264	0.3137411099251945	0.16083565615738646	0.19842920125291738	0.443191687573098	0.3956286002422925	0.07220111582108059
Signature_7	0.34441243252531983	0.1568020671031337	0.5309393336747056	0.2524652309491729	0.5731509644120077	0.49111859640641564	0.3277584894032038	0.31004956578704185	0.2505741431539149	0.19390938912431802	0.26826623398462945	0.4252794736224448	0.08079100510253825	0.08037983234039568	0.28751520741371167	0.3491844518632202	0.09863813818207728	0.10673813338444309	0.5558143753462287	0.23888868530398819	0.0982228843564206	0.05508592981775964	0.20828722052458462	0.24512538171464637	0.23050401325702316	0.2256520153707699	0.23896713752934878	0.2878645346347919	0.3389261031894679	0.45871115165272885	0.3571369166902538	0.32683683175856393	0.08299662699534818	0.2068597946418945	0.3360523733743233	0.30169324113105916	0.23553242044587275	0.1453947791696684	0.13133089407123233	0.2950887662955501	0.1327448018688067	0.46592811067765494	0.09646616744507205	0.427438715036789	0.5049159647324865	0.3876442339868608	0.3622378236943602	0.34864792939034234	0.4203017566088544	0.11683030111658366	0.3416373220555656	0.2562510837116159	0.048841655684040315	0.06655358703134244	0.2749298950647432	0.27159490927278346	0.05368273151093801	0.15024953095605934	0.23915242173709583	0.3191050420843182	0.07491548612103996	0.3866821376194432	0.24448141946146698	0.05129292952321183	0.2690579238208549	0.3106734391529592	0.3703869945800203	0.2362706091283492	0.2913833070817729	0.29979492949581327	0.4733544203792844	0.1747510005586356
Signature_8	0.31983576524541796	0.06708690654059683	0.48597533457263153	0.18107324616178316	0.4920509666112658	0.5575655272347351	0.13738743732524178	0.2940773616924409	0.13173582949917712	0.2266596628790992	0.21842051721880004	0.34270165279462206	0.030412731227301527	0.22476469513077446	0.38654171651324815	0.15378303725121312	0.11656080396253674	0.10474659187485855	0.460331361690817	0.1310634479029586	0.03534156860352452	0.046567341849746216	0.1831613823623981	0.3733344408320842	0.22206911099617593	0.14065535037856788	0.15184782010929163	0.4988316548091145	0.2849493425295935	0.41501171618763205	0.16932695029704026	0.10698608041201195	0.11552047043746405	0.18130353946636618	0.3878563079033689	0.34109239824747806	0.3855105833704494	0.10173235729071728	0.04441087839504632	0.3141575286390892	0.08894613997392979	0.2775004207318823	0.08494182332646724	0.31785338958308595	0.4482634901269854	0.25734770696296677	0.4783547017116414	0.399258694919275	0.5116494893941452	0.06137227763007086	0.23151044610813326	0.18536764776978543	0.015233842880505928	0.032451161232786366	0.253856550809901	0.30843777474160894	0.05088760691175423	0.1352731780775214	0.1154199645843113	0.43822575774892786	0.03624691880282854	0.19941208620831813	0.2671169196986695	0.03108391162306893	0.32027281766605226	0.5709183892040155	0.17435773857779208	0.19382852541844692	0.29090455175829777	0.15712719220876104	0.4479856872301269	0.05138653863585711
Signature_9	0.47876666933755563	0.07916428571267012	0.5398921239478367	0.22520596267800724	0.6343876492262983	0.48482497312128564	0.31150157533308426	0.4222194463147459	0.2157224351164052	0.17358653280596004	0.2757434454506896	0.4960379095504394	0.06450275068942998	0.2406052670881045	0.427890637262949	0.3895791488205296	0.026872961897964853	0.18245185063976266	0.3122795323150668	0.2849305015509278	0.2337561352654025	0.15213716725356924	0.2046854018382308	0.3481669744204515	0.2751488846116114	0.23289665441411356	0.22998774591017285	0.4149599400575491	0.21974408711867488	0.5232314413253581	0.40639226008867974	0.2799323377562453	0.24915003499919225	0.18218756075760403	0.44552452787843966	0.39842715320771427	0.40093203655666815	0.22425011891964533	0.1468636060606514	0.32942749431078544	0.13550508461382754	0.46162913402786854	0.11528744849900394	0.33092141275857123	0.527240601834039	0.3922181633089667	0.41573908431867646	0.22525354569246103	0.4326264040540124	0.11153435669547701	0.4308479190217506	0.24474667800216204	0.014128216425467363	0.05845306217881474	0.27051910434202453	0.28679937928975663	0.06774896090255418	0.15041841811730916	0.2789621255110685	0.2372059052449908	0.09804177024285862	0.4223032786944846	0.2893569415528683	0.03584799183763786	0.17838561629961375	0.39604767524384743	0.35695169918746505	0.16778625819994075	0.5110557843594982	0.36774038280565147	0.44214350190074336	0.10817735125151891
