	sample	All	nonsynonmous	TMB_All	TMB_nonsynonmous
0	CBCP00111-T1	636.0	220.0	10.519880067412583	3.6389522245766797
1	CBCP00112-T1	813.0	327.0	13.44758253900382	5.408806261075338
2	CBCP00113-T1	496.0	184.0	8.204183197227422	3.0434873151004957
3	CBCP00114-T1	296.0	100.0	4.896044811248624	1.6540691929893998
4	CBCP00116-T1	357.0	91.0	5.905027018972157	1.5052029656203538
5	CBCP00117-T1	568.0	189.0	9.39511301617979	3.1261907747499653
6	CBCP00118-T1	365.0	112.0	6.037352554411309	1.8525574961481277
7	CBCP00119-T1	672.0	210.0	11.115344976888766	3.4735453052777396
8	CBCP00111-T2	973.0	407.0	16.09409324778686	6.732061615466857
9	CBCP00112-T2	809.0	305.0	13.381419771284245	5.044911038617669
10	CBCP00113-T2	474.0	138.0	7.840287974769755	2.282615486325372
11	CBCP00114-T2	360.0	99.0	5.954649094761839	1.6375285010595058
12	CBCP00116-T2	300.0	69.0	4.962207578968199	1.141307743162686
13	CBCP00117-T2	795.0	277.0	13.149850084265728	4.5817716645806374
14	CBCP00118-T2	571.0	201.0	9.444735091969472	3.3246790779086934
15	CBCP00119-T2	982.0	362.0	16.242959475155907	5.987730478621627
