NORMAL	TUMOR	MuSe	Mutect2	SomaticSniper	Strelka2	VarScan2	At Least
CBCP00111-N1	CBCP00111-T1	./sample_data/caller/MuSe/CBCP00111-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00111-T1_somatic_oncefiltered.vcf				1
CBCP00112-N1	CBCP00112-T1	./sample_data/caller/MuSe/CBCP00112-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00112-T1_somatic_oncefiltered.vcf				1
CBCP00113-N1	CBCP00113-T1	./sample_data/caller/MuSe/CBCP00113-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00113-T1_somatic_oncefiltered.vcf				1
CBCP00114-N1	CBCP00114-T1	./sample_data/caller/MuSe/CBCP00114-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00114-T1_somatic_oncefiltered.vcf				1
CBCP00116-N1	CBCP00116-T1	./sample_data/caller/MuSe/CBCP00116-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00116-T1_somatic_oncefiltered.vcf				1
CBCP00117-N1	CBCP00117-T1	./sample_data/caller/MuSe/CBCP00117-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00117-T1_somatic_oncefiltered.vcf				1
CBCP00118-N1	CBCP00118-T1	./sample_data/caller/MuSe/CBCP00118-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00118-T1_somatic_oncefiltered.vcf				1
CBCP00119-N1	CBCP00119-T1	./sample_data/caller/MuSe/CBCP00119-T1.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00119-T1_somatic_oncefiltered.vcf				1
CBCP00111-N2	CBCP00111-T2	./sample_data/caller/MuSe/CBCP00111-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00111-T2_somatic_oncefiltered.vcf				1
CBCP00112-N2	CBCP00112-T2	./sample_data/caller/MuSe/CBCP00112-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00112-T2_somatic_oncefiltered.vcf				1
CBCP00113-N2	CBCP00113-T2	./sample_data/caller/MuSe/CBCP00113-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00113-T2_somatic_oncefiltered.vcf				1
CBCP00114-N2	CBCP00114-T2	./sample_data/caller/MuSe/CBCP00114-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00114-T2_somatic_oncefiltered.vcf				1
CBCP00116-N2	CBCP00116-T2	./sample_data/caller/MuSe/CBCP00116-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00116-T2_somatic_oncefiltered.vcf				1
CBCP00117-N2	CBCP00117-T2	./sample_data/caller/MuSe/CBCP00117-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00117-T2_somatic_oncefiltered.vcf				1
CBCP00118-N2	CBCP00118-T2	./sample_data/caller/MuSe/CBCP00118-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00118-T2_somatic_oncefiltered.vcf				1
CBCP00119-N2	CBCP00119-T2	./sample_data/caller/MuSe/CBCP00119-T2.muse.variants.vcf	./sample_data/caller/Mutect2/CBCP00119-T2_somatic_oncefiltered.vcf				1
